name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	300	190	110	40	40	70	920	870	920	92	77	117	74	64	84	160	130	180	220	200	240	t < 800 ms	189	63	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	110	36	2	2	1
request_2	10	10	0	50	50	-1	80	80	-1	59	59	-1	11	11	-1	80	80	-1	80	80	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_3	10	10	0	50	50	-1	80	80	-1	56	56	-1	9	9	-1	80	80	-1	80	80	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_10	10	10	0	50	50	-1	90	90	-1	57	57	-1	12	12	-1	90	90	-1	90	90	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_1	10	10	0	90	90	-1	200	200	-1	119	119	-1	35	35	-1	200	200	-1	200	200	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_6	50	45	5	50	50	70	200	200	90	74	74	76	27	27	8	130	130	90	200	200	90	t < 800 ms	45	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	5	10	0	0	0
request_7	50	0	50	70	-1	70	180	-1	180	106	-1	106	32	-1	32	170	-1	170	180	-1	180	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_4	50	50	0	60	60	-1	870	870	-1	91	91	-1	113	113	-1	130	130	-1	870	870	-1	t < 800 ms	49	98	800 ms < t < 1200 ms	1	2	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_5	50	0	50	80	-1	80	240	-1	240	118	-1	118	37	-1	37	200	-1	200	240	-1	240	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_8	50	45	5	50	50	70	920	150	920	88	71	242	120	20	339	110	110	920	920	150	920	t < 800 ms	45	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	5	10	0	0	0
request_9	10	10	0	40	40	-1	130	130	-1	72	72	-1	31	31	-1	130	130	-1	130	130	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

