name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	140	140	0	0	0	-1	250	250	-1	47	47	-1	69	69	-1	210	210	-1	240	240	-1	t < 800 ms	140	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	71	71	-1
request_2	10	10	0	10	10	-1	30	30	-1	14	14	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_3	10	10	0	10	10	-1	20	20	-1	11	11	-1	3	3	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_1	10	10	0	30	30	-1	70	70	-1	48	48	-1	11	11	-1	70	70	-1	70	70	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_6	10	10	0	190	190	-1	250	250	-1	219	219	-1	21	21	-1	250	250	-1	250	250	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_7	10	10	0	0	0	-1	20	20	-1	4	4	-1	7	7	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_4	10	10	0	10	10	-1	20	20	-1	11	11	-1	3	3	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_5	10	10	0	0	0	-1	10	10	-1	6	6	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_8	10	10	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_9	10	10	0	20	20	-1	30	30	-1	28	28	-1	4	4	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_11	10	10	0	0	0	-1	10	10	-1	8	8	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_12	10	10	0	170	170	-1	220	220	-1	205	205	-1	13	13	-1	220	220	-1	220	220	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_13	10	10	0	40	40	-1	90	90	-1	45	45	-1	15	15	-1	90	90	-1	90	90	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_14	10	10	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_10	10	10	0	30	30	-1	40	40	-1	34	34	-1	5	5	-1	40	40	-1	40	40	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1

