name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	130	130	0	0	0	-1	4850	4850	-1	477	477	-1	1263	1263	-1	4800	4800	-1	4820	4820	-1	t < 800 ms	120	92	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	7	failed	0	0	18	18	-1
request_2	10	10	0	30	30	-1	50	50	-1	36	36	-1	7	7	-1	50	50	-1	50	50	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_3	10	10	0	0	0	-1	30	30	-1	11	11	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_1	10	10	0	300	300	-1	300	300	-1	300	300	-1	0	0	-1	300	300	-1	300	300	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_6	10	10	0	130	130	-1	200	200	-1	173	173	-1	25	25	-1	200	200	-1	200	200	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_7	10	10	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_4	10	10	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_5	10	10	0	0	0	-1	10	10	-1	5	5	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_8	10	10	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_11	10	10	0	70	70	-1	100	100	-1	84	84	-1	12	12	-1	100	100	-1	100	100	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_12	10	10	0	4790	4790	-1	4850	4850	-1	4806	4806	-1	17	17	-1	4850	4850	-1	4850	4850	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	1	1	-1
request_13	10	10	0	40	40	-1	70	70	-1	63	63	-1	9	9	-1	70	70	-1	70	70	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_14	10	10	0	0	0	-1	10	10	-1	6	6	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_10	10	10	0	620	620	-1	720	720	-1	684	684	-1	36	36	-1	720	720	-1	720	720	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1

