name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	140	140	0	0	0	-1	540	540	-1	59	59	-1	114	114	-1	410	410	-1	510	510	-1	t < 800 ms	140	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	63	63	-1
request_2	10	10	0	10	10	-1	30	30	-1	15	15	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_3	10	10	0	0	0	-1	20	20	-1	11	11	-1	7	7	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_1	10	10	0	40	40	-1	70	70	-1	53	53	-1	12	12	-1	70	70	-1	70	70	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_6	10	10	0	100	100	-1	180	180	-1	133	133	-1	24	24	-1	180	180	-1	180	180	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_7	10	10	0	0	0	-1	10	10	-1	5	5	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_4	10	10	0	0	0	-1	50	50	-1	14	14	-1	13	13	-1	50	50	-1	50	50	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_5	10	10	0	0	0	-1	20	20	-1	10	10	-1	6	6	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_8	10	10	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_9	10	10	0	20	20	-1	30	30	-1	23	23	-1	5	5	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_11	10	10	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_12	10	10	0	360	360	-1	540	540	-1	447	447	-1	49	49	-1	540	540	-1	540	540	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_13	10	10	0	40	40	-1	100	100	-1	47	47	-1	18	18	-1	100	100	-1	100	100	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_14	10	10	0	0	0	-1	10	10	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_10	10	10	0	30	30	-1	50	50	-1	38	38	-1	7	7	-1	50	50	-1	50	50	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1

