name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	140	140	0	0	0	-1	440	440	-1	57	57	-1	108	108	-1	350	350	-1	410	410	-1	t < 800 ms	140	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	66	66	-1
request_2	10	10	0	10	10	-1	30	30	-1	15	15	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_3	10	10	0	0	0	-1	10	10	-1	7	7	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_1	10	10	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_6	10	10	0	170	170	-1	360	360	-1	246	246	-1	59	59	-1	360	360	-1	360	360	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_7	10	10	0	0	0	-1	10	10	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_4	10	10	0	10	10	-1	20	20	-1	11	11	-1	3	3	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_5	10	10	0	0	0	-1	10	10	-1	9	9	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_8	10	10	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_9	10	10	0	20	20	-1	30	30	-1	21	21	-1	3	3	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_11	10	10	0	0	0	-1	10	10	-1	5	5	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_12	10	10	0	290	290	-1	440	440	-1	372	372	-1	43	43	-1	440	440	-1	440	440	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_13	10	10	0	40	40	-1	110	110	-1	49	49	-1	21	21	-1	110	110	-1	110	110	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_14	10	10	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_10	10	10	0	20	20	-1	40	40	-1	33	33	-1	8	8	-1	40	40	-1	40	40	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1

