name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	14	12	2	10	10	20	110	110	20	40	43	20	30	31	0	80	80	20	110	110	20	t < 800 ms	12	85	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	14	1	1	0
request_2	1	1	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_3	1	1	0	80	80	-1	80	80	-1	80	80	-1	0	0	-1	80	80	-1	80	80	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_1	1	1	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_6	1	1	0	110	110	-1	110	110	-1	110	110	-1	0	0	-1	110	110	-1	110	110	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_7	1	1	0	50	50	-1	50	50	-1	50	50	-1	0	0	-1	50	50	-1	50	50	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_4	1	1	0	50	50	-1	50	50	-1	50	50	-1	0	0	-1	50	50	-1	50	50	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_5	1	1	0	80	80	-1	80	80	-1	80	80	-1	0	0	-1	80	80	-1	80	80	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_8	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_9	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_11	1	0	1	20	-1	20	20	-1	20	20	-1	20	0	-1	0	20	-1	20	20	-1	20	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	100	0	-1	0
request_12	1	1	0	30	30	-1	30	30	-1	30	30	-1	0	0	-1	30	30	-1	30	30	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_13	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_14	1	1	0	40	40	-1	40	40	-1	40	40	-1	0	0	-1	40	40	-1	40	40	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_10	1	0	1	20	-1	20	20	-1	20	20	-1	20	0	-1	0	20	-1	20	20	-1	20	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	100	0	-1	0

